age_group,scenario_name,target,target_end_date,location,value,type,quantile,model_projection_date
0-4,no_change,4 wk ahead inc case,07/17/2021,Tennessee,14,quantile,0.025,06/20/2021
0-4,no_change,4 wk ahead inc case,07/17/2021,Tennessee,16,quantile,0.5,06/20/2021
0-4,no_change,4 wk ahead inc case,07/17/2021,Tennessee,21,quantile,0.975,06/20/2021
0-4,no_change,5 wk ahead inc case,07/24/2021,Tennessee,8,quantile,0.025,06/20/2021
0-4,no_change,5 wk ahead inc case,07/24/2021,Tennessee,14,quantile,0.5,06/20/2021
0-4,no_change,5 wk ahead inc case,07/24/2021,Tennessee,21,quantile,0.975,06/20/2021
0-4,no_change,6 wk ahead inc case,07/31/2021,Tennessee,7,quantile,0.025,06/20/2021
0-4,no_change,6 wk ahead inc case,07/31/2021,Tennessee,14,quantile,0.5,06/20/2021
0-4,no_change,6 wk ahead inc case,07/31/2021,Tennessee,21,quantile,0.975,06/20/2021
0-4,no_change,1 wk ahead inc case,06/26/2021,Texas,219,quantile,0.025,06/20/2021
0-4,no_change,1 wk ahead inc case,06/26/2021,Texas,244,quantile,0.5,06/20/2021
0-4,no_change,1 wk ahead inc case,06/26/2021,Texas,267,quantile,0.975,06/20/2021
0-4,no_change,2 wk ahead inc case,07/03/2021,Texas,252,quantile,0.025,06/20/2021
0-4,no_change,2 wk ahead inc case,07/03/2021,Texas,275,quantile,0.5,06/20/2021
0-4,no_change,2 wk ahead inc case,07/03/2021,Texas,297,quantile,0.975,06/20/2021
0-4,no_change,3 wk ahead inc case,07/10/2021,Texas,272,quantile,0.025,06/20/2021
0-4,no_change,3 wk ahead inc case,07/10/2021,Texas,312,quantile,0.5,06/20/2021
0-4,no_change,3 wk ahead inc case,07/10/2021,Texas,359,quantile,0.975,06/20/2021
0-4,no_change,4 wk ahead inc case,07/17/2021,Texas,273,quantile,0.025,06/20/2021
0-4,no_change,4 wk ahead inc case,07/17/2021,Texas,337,quantile,0.5,06/20/2021
0-4,no_change,4 wk ahead inc case,07/17/2021,Texas,418,quantile,0.975,06/20/2021
0-4,no_change,5 wk ahead inc case,07/24/2021,Texas,266,quantile,0.025,06/20/2021
0-4,no_change,5 wk ahead inc case,07/24/2021,Texas,353,quantile,0.5,06/20/2021
0-4,no_change,5 wk ahead inc case,07/24/2021,Texas,469,quantile,0.975,06/20/2021
0-4,no_change,6 wk ahead inc case,07/31/2021,Texas,252,quantile,0.025,06/20/2021
0-4,no_change,6 wk ahead inc case,07/31/2021,Texas,361,quantile,0.5,06/20/2021
0-4,no_change,6 wk ahead inc case,07/31/2021,Texas,517,quantile,0.975,06/20/2021
0-4,no_change,1 wk ahead inc case,06/26/2021,Utah,52,quantile,0.025,06/20/2021
0-4,no_change,1 wk ahead inc case,06/26/2021,Utah,63,quantile,0.5,06/20/2021
0-4,no_change,1 wk ahead inc case,06/26/2021,Utah,70,quantile,0.975,06/20/2021
0-4,no_change,2 wk ahead inc case,07/03/2021,Utah,98,quantile,0.025,06/20/2021
0-4,no_change,2 wk ahead inc case,07/03/2021,Utah,112,quantile,0.5,06/20/2021
0-4,no_change,2 wk ahead inc case,07/03/2021,Utah,125,quantile,0.975,06/20/2021
0-4,no_change,3 wk ahead inc case,07/10/2021,Utah,177,quantile,0.025,06/20/2021
0-4,no_change,3 wk ahead inc case,07/10/2021,Utah,214,quantile,0.5,06/20/2021
0-4,no_change,3 wk ahead inc case,07/10/2021,Utah,258,quantile,0.975,06/20/2021
0-4,no_change,4 wk ahead inc case,07/17/2021,Utah,287,quantile,0.025,06/20/2021
0-4,no_change,4 wk ahead inc case,07/17/2021,Utah,374,quantile,0.5,06/20/2021
0-4,no_change,4 wk ahead inc case,07/17/2021,Utah,494,quantile,0.975,06/20/2021
0-4,no_change,5 wk ahead inc case,07/24/2021,Utah,440,quantile,0.025,06/20/2021
0-4,no_change,5 wk ahead inc case,07/24/2021,Utah,620,quantile,0.5,06/20/2021
0-4,no_change,5 wk ahead inc case,07/24/2021,Utah,875,quantile,0.975,06/20/2021
0-4,no_change,6 wk ahead inc case,07/31/2021,Utah,643,quantile,0.025,06/20/2021
0-4,no_change,6 wk ahead inc case,07/31/2021,Utah,963,quantile,0.5,06/20/2021
0-4,no_change,6 wk ahead inc case,07/31/2021,Utah,1427,quantile,0.975,06/20/2021
0-4,no_change,1 wk ahead inc case,06/26/2021,Virginia,14,quantile,0.025,06/20/2021
0-4,no_change,1 wk ahead inc case,06/26/2021,Virginia,22,quantile,0.5,06/20/2021
0-4,no_change,1 wk ahead inc case,06/26/2021,Virginia,26,quantile,0.975,06/20/2021
0-4,no_change,2 wk ahead inc case,07/03/2021,Virginia,14,quantile,0.025,06/20/2021
0-4,no_change,2 wk ahead inc case,07/03/2021,Virginia,19,quantile,0.5,06/20/2021
0-4,no_change,2 wk ahead inc case,07/03/2021,Virginia,21,quantile,0.975,06/20/2021
0-4,no_change,3 wk ahead inc case,07/10/2021,Virginia,14,quantile,0.025,06/20/2021
0-4,no_change,3 wk ahead inc case,07/10/2021,Virginia,14,quantile,0.5,06/20/2021
