location,fips,Date, hosp_new_1, hosp_new_2point5, hosp_new_5, hosp_new_10, hosp_new_15, hosp_new_20, hosp_new_25, hosp_new_30, hosp_new_35, hosp_new_40, hosp_new_45, hosp_new_50, hosp_new_55, hosp_new_60, hosp_new_65, hosp_new_70, hosp_new_75, hosp_new_80, hosp_new_85, hosp_new_90, hosp_new_95, hosp_new_97point5, hosp_new_99, death_1, death_2point5, death_5, death_10, death_15, death_20, death_25, death_30, death_35, death_40, death_45, death_50, death_55, death_60, death_65, death_70, death_75, death_80, death_85, death_90, death_95, death_97point5, death_99, cdeath_1, cdeath_2point5, cdeath_5, cdeath_10, cdeath_15, cdeath_20, cdeath_25, cdeath_30, cdeath_35, cdeath_40, cdeath_45, cdeath_50, cdeath_55, cdeath_60, cdeath_65, cdeath_70, cdeath_75, cdeath_80, cdeath_85, cdeath_90, cdeath_95, cdeath_97point5, cdeath_99
Pennsylvania,42,04/09/20, 9, 13, 16, 19, 22, 24, 26, 28, 29, 32, 33, 35, 36, 38, 42, 46, 51, 57, 65, 71, 77, 93, 113, 0, 0, 0, 0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 4, 4, 5, 6, 6, 7, 7, 8, 9, 7, 7, 21, 51, 65, 75, 92, 103, 118, 136, 140, 160, 171, 184, 192, 204, 219, 221, 240, 249, 277, 284, 284
Rhode Island,44,04/09/20, 0, 0, 0, 0, 1, 2, 2, 3, 3, 4, 4, 5, 7, 7, 8, 9, 11, 13, 17, 24, 29, 38, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 2, 3, 3, 6, 0, 0, 7, 11, 12, 15, 22, 23, 23, 23, 23, 25, 25, 25, 28, 29, 31, 35, 39, 39, 46, 49, 49
South Carolina,45,04/09/20, 4, 6, 8, 10, 11, 14, 15, 16, 17, 18, 20, 21, 22, 24, 27, 27, 30, 31, 35, 39, 45, 48, 61, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 1, 5, 9, 14, 23, 27, 33, 37, 39, 49, 57, 64, 72, 75, 78, 86, 95, 98, 103, 106, 116, 117, 119
South Dakota,46,04/09/20, 1, 1, 2, 4, 5, 7, 7, 8, 8, 9, 10, 11, 12, 14, 15, 18, 19, 20, 25, 27, 30, 49, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 3, 4, 0, 0, 4, 8, 10, 10, 13, 15, 15, 17, 18, 19, 21, 23, 27, 31, 33, 33, 35, 35, 44, 45, 46
Tennessee,47,04/09/20, 2, 4, 5, 6, 7, 8, 10, 11, 12, 12, 15, 15, 17, 18, 19, 20, 21, 22, 25, 28, 34, 39, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 3, 3, 4, 5, 3, 3, 11, 13, 16, 21, 25, 30, 32, 36, 38, 45, 54, 59, 60, 65, 66, 69, 75, 81, 89, 92, 93
Texas,48,04/09/20, 5, 6, 7, 9, 11, 12, 13, 14, 15, 15, 16, 16, 17, 18, 19, 23, 25, 27, 30, 36, 56, 64, 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 2, 3, 5, 6, 7, 0, 0, 5, 15, 17, 20, 21, 23, 24, 25, 26, 33, 38, 38, 40, 45, 48, 51, 61, 65, 70, 78, 83
Utah,49,04/09/20, 0, 1, 1, 2, 2, 3, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 8, 9, 10, 11, 13, 15, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 2, 2, 2, 4, 5, 6, 8, 8, 8, 9, 10, 10, 10, 11, 12, 13, 13, 13, 13, 15, 15, 15, 15, 15
Vermont,50,04/09/20, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 5, 5, 6, 6, 7, 8, 10, 12, 19, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 0, 0, 0, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 5, 6, 7, 8, 8
Virginia,51,04/09/20, 9, 11, 13, 16, 18, 19, 20, 22, 24, 27, 29, 30, 31, 33, 35, 39, 42, 45, 51, 56, 68, 81, 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 2, 2, 3, 4, 4, 5, 2, 2, 6, 12, 18, 19, 23, 24, 24, 25, 27, 34, 42, 45, 49, 52, 57, 66, 72, 78, 85, 89, 90
Washington,53,04/09/20, 79, 92, 121, 139, 155, 163, 173, 178, 190, 199, 210, 220, 234, 240, 258, 266, 272, 293, 331, 362, 442, 551, 645, 9, 9, 9, 12, 14, 15, 16, 17, 17, 18, 20, 21, 21, 23, 24, 25, 26, 28, 33, 40, 45, 48, 53, 39, 67, 158, 299, 396, 551, 629, 708, 835, 933, 1008, 1120, 1255, 1368, 1471, 1609, 1714, 1787, 1920, 2009, 2143, 2203, 2239
West Virginia,54,04/09/20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Wisconsin,55,04/09/20, 8, 9, 11, 15, 16, 17, 17, 21, 22, 24, 24, 25, 29, 29, 31, 33, 34, 37, 39, 46, 61, 67, 72, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 4, 5, 5, 7, 8, 2, 4, 13, 28, 40, 49, 60, 68, 76, 83, 85, 98, 107, 115, 124, 135, 142, 148, 159, 164, 175, 182, 183
Wyoming,56,04/09/20, 0, 0, 0, 1, 1, 2, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 8, 10, 11, 15, 21, 26, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 2, 0, 0, 1, 1, 1, 1, 4, 5, 6, 8, 8, 8, 8, 9, 9, 10, 10, 10, 12, 12, 14, 14, 14
US National,US,04/09/20, 986, 1082, 1193, 1297, 1374, 1479, 1541, 1745, 1810, 1869, 1935, 1988, 2055, 2111, 2237, 2305, 2414, 2518, 2629, 3149, 3709, 4303, 5311, 73, 81, 95, 109, 114, 123, 136, 142, 147, 151, 159, 177, 182, 183, 186, 192, 203, 217, 232, 262, 332, 369, 465, 316, 527, 1207, 2432, 3230, 4190, 4974, 5643, 6581, 7349, 8039, 8948, 9896, 10650, 11465, 12401, 13228, 13918, 15012, 15787, 16949, 17670, 17883
Alabama,1,04/10/20, 0, 1, 2, 2, 2, 3, 3, 4, 5, 6, 6, 7, 7, 8, 8, 9, 10, 10, 11, 13, 16, 16, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 3, 0, 0, 0, 2, 4, 6, 8, 8, 8, 8, 10, 11, 11, 11, 11, 11, 11, 11, 11, 11, 14, 17, 17
Alaska,2,04/10/20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 3, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Arizona,4,04/10/20, 2, 3, 4, 7, 9, 9, 10, 11, 11, 12, 13, 13, 16, 19, 21, 21, 24, 25, 28, 30, 35, 41, 55, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 4, 5, 5, 1, 2, 8, 15, 22, 32, 36, 42, 45, 50, 56, 67, 70, 76, 85, 92, 100, 101, 109, 114, 123, 132, 132
Arkansas,5,04/10/20, 0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 6, 8, 9, 14, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3
