fips,Scenario_1_sum,Scenario_1_diff,Scenario_2_sum,Scenario_2_diff,Scenario_3_sum,Scenario_3_diff
21223,4,0,6,1,6,0
21225,39,1,38,1,40,2
21227,1633,15,1644,12,1623,14
21229,102,2,104,1,100,1
21231,116,-1,118,-1,115,0
21233,73,1,69,1,72,1
21235,61,3,60,2,60,3
21237,108,2,107,1,101,1
21239,216,0,217,-2,208,-2
22001,304,0,316,2,301,0
22003,238,11,224,8,235,11
22005,1441,48,1396,38,1426,43
22007,64,-2,71,-2,65,-2
22009,392,11,380,7,379,11
22011,209,4,207,3,204,3
22013,44,0,45,0,42,0
22015,1753,41,1738,34,1720,34
22017,3342,94,3307,80,3268,92
22019,2537,100,2445,73,2494,93
22021,34,1,35,1,34,1
22023,13,1,16,1,11,1
22025,1,0,0,0,1,0
22027,46,2,45,2,44,1
22029,67,2,64,1,66,2
22031,127,-4,136,-3,126,-4
22033,3336,52,3285,39,3269,42
22035,13,1,16,1,12,1
22037,87,3,84,2,87,3
22039,403,24,366,13,392,21
22041,62,2,59,1,62,2
22043,124,2,126,1,125,1
22045,818,31,786,21,798,27
22047,212,0,219,3,207,0
22049,112,-4,121,-2,114,-3
22051,4484,177,4245,117,4349,153
22053,98,-5,106,-4,93,-5
22055,2812,104,2698,80,2722,94
22057,1028,20,1025,13,1008,15
22059,22,1,25,1,24,0
22061,507,24,482,17,496,23
22063,926,27,901,16,912,25
22065,0,0,0,0,0,0
22067,38,-2,40,-2,36,-2
22069,285,10,290,11,276,8
22071,2742,44,2690,25,2686,33
22073,1820,72,1744,54,1796,73
22075,29,0,26,0,28,0
22077,0,0,0,0,0,0
22079,1643,74,1547,48,1593,68
22081,21,0,21,0,21,0
22083,70,-3,77,-2,69,-3
22085,204,7,195,5,194,6
22087,344,2,357,4,336,2
22089,328,3,333,4,319,3
22091,20,2,19,1,19,2
22093,188,0,201,0,190,-2
22095,442,15,436,11,435,14
22097,678,15,674,11,663,12
22099,220,3,237,4,218,2
22101,700,32,659,20,679,25
22103,2746,68,2721,52,2685,57
22105,1062,23,1039,18,1034,21
22107,0,0,0,0,0,0
22109,1570,42,1539,35,1554,36
22111,52,-3,59,-1,53,-3
22113,416,10,406,7,415,9
22115,206,5,206,5,202,4
22117,437,20,405,13,422,18
22119,517,18,511,15,503,15
22121,98,-2,102,-2,94,-2
22123,212,15,193,9,207,12
22125,314,46,162,10,300,45
22127,34,0,37,1,37,1
23001,340,6,341,4,329,3
23003,110,-4,119,-2,112,-3
23005,674,-17,692,-13,660,-19
23007,57,-1,57,-1,54,-1
23009,197,2,194,1,193,0
23011,417,4,423,5,410,2
23013,73,-1,77,0,73,0
23015,42,0,39,0,39,-1
23017,138,-3,143,-2,138,-2
23019,275,-6,291,-5,273,-7
23021,14,-2,14,-2,13,-2
23023,95,-1,99,-1,95,-1
23025,85,-3,88,-3,84,-3
23027,75,-1,78,-1,73,0
23029,47,-1,47,-1,47,-1
23031,411,-8,414,-8,400,-10
24001,372,12,354,8,366,9
24003,2088,2,2128,10,2051,-1
24005,2352,-8,2415,2,2321,-11
24009,366,9,359,7,355,7
24011,37,-2,41,-1,33,-2
24013,387,5,371,3,374,3
24015,417,4,416,3,413,3
24017,720,-18,745,-17,717,-21
24019,0,0,0,0,0,0
24021,989,6,1000,6,976,3
24023,88,-1,92,-1,88,-1
24025,872,7,885,7,863,9
24027,1223,-34,1269,-30,1211,-38
24029,21,0,21,0,21,0
24031,5776,-49,6006,-18,5699,-65
24033,3904,-29,4042,-3,3831,-34
24035,172,4,168,2,171,4
24037,357,-1,362,-1,347,-2
24039,82,3,78,2,82,3
24041,99,2,95,-1,97,2
24043,431,3,435,1,421,3
24045,548,17,495,9,525,17
24047,204,3,205,0,203,1
24510,1837,-34,1936,-22,1846,-31
25001,777,-4,800,0,769,-4
25003,552,-6,572,-1,544,-7
25005,1557,-14,1604,-7,1537,-17
25007,0,0,0,0,0,0
25009,2391,-31,2515,-12,2353,-36
25011,223,1,232,2,223,2
25013,1628,-34,1691,-23,1600,-36
25015,590,-3,606,-1,576,-5
25017,5669,-89,5951,-50,5615,-112
25019,0,0,0,0,0,0
25021,1772,-40,1862,-27,1751,-47
25023,1474,-12,1505,-9,1441,-18
25025,2612,-55,2730,-35,2579,-60
25027,2065,-32,2175,-18,2043,-32
26001,2,1,2,0,0,0
26003,11,-1,10,-1,8,-1
26005,459,8,454,5,453,6
26007,2,-1,2,-1,2,-1
26009,103,2,104,1,103,1
26011,37,-1,36,-2,36,-1
26013,22,-1,23,-1,22,-2
26015,215,5,207,5,210,5
26017,298,2,289,-1,290,1
26019,28,-1,27,-1,28,-1
26021,619,1,621,1,605,-1
26023,64,-2,61,-2,61,-1
26025,402,-1,402,-1,393,-3
26027,243,6,238,3,240,6
26029,92,3,86,2,89,3
26031,56,1,52,0,52,1
26033,69,-2,68,-3,71,-2
26035,43,-2,47,-2,41,-2
26037,359,2,363,1,357,2
26039,21,0,21,0,21,0
26041,233,1,233,1,228,1
26043,107,0,106,-1,107,0
26045,311,-7,310,-9,302,-9
26047,61,0,59,-1,55,0
26049,1098,-25,1119,-19,1092,-24
26051,32,-2,34,-2,32,-2
26053,100,2,98,2,95,2
26055,329,1,323,0,321,-1
26057,160,0,156,-1,156,-1
26059,235,7,221,4,227,8
26061,158,2,148,1,153,2
26063,65,-1,60,-2,61,-1
26065,1112,-3,1127,-4,1081,-7
26067,267,3,252,1,261,4
26069,50,0,52,0,51,0
26071,60,0,58,0,60,0
26073,191,3,183,1,182,2
26075,622,2,634,3,608,0
26077,1192,-6,1200,-7,1171,-7
26079,62,-1,65,0,62,0
26081,2442,-15,2454,-17,2370,-23
26083,0,0,0,0,0,0
26085,20,-1,21,-1,21,-1
26087,213,-3,209,-2,212,-1
26089,88,0,84,0,88,1
26091,295,3,293,2,287,2
26093,557,0,555,-3,539,-6
26095,13,0,16,0,11,-1
26097,11,-2,12,-2,11,-2
26099,3185,-54,3300,-38,3149,-55
26101,46,0,49,1,46,0
26103,211,-2,215,-2,213,-2
26105,76,-1,78,0,78,-1
26107,77,-1,75,0,77,-1
26109,65,0,69,0,66,0
26111,345,7,337,5,328,4
26113,21,0,21,0,21,0
26115,565,-2,564,-2,555,-3
26117,141,1,140,0,138,0
26119,0,0,1,0,0,0
26121,578,3,571,0,571,3
26123,170,2,166,0,166,2
26125,4926,-117,5128,-92,4865,-134
26127,76,-2,75,-2,75,-2
26129,23,-1,23,-1,23,-1
26131,0,0,0,0,0,0
26133,103,3,97,1,95,2
26135,0,0,0,0,0,0
26137,70,-1,69,-1,70,-1
26139,924,-6,937,-9,915,-7
26141,1,-1,1,-1,1,-1
26143,58,0,60,0,57,0
26145,741,2,726,-5,723,-1
26147,503,-4,501,-4,487,-4
26149,198,5,187,3,190,4
26151,54,-1,50,-1,53,-1
26153,5,-1,5,-1,5,-1
26155,273,4,272,2,267,3
26157,113,0,104,-3,105,-1
26159,270,0,270,-1,264,0
26161,1626,-55,1701,-44,1614,-61
26163,5746,-152,6004,-116,5700,-155
26165,111,0,108,-1,111,0
27001,5,-1,5,-1,5,-1
27003,1878,18,1889,13,1836,6
27005,132,2,133,1,127,1
27007,103,-4,102,-3,101,-3
27009,213,0,215,-1,206,-1
27011,8,1,4,1,7,1
27013,309,2,307,1,305,1
27015,72,1,69,1,69,1
27017,174,3,167,1,170,2
27019,480,6,476,3,463,4
27021,122,1,122,2,121,2
27023,33,1,32,1,34,1
27025,213,2,205,0,208,1
27027,339,8,338,4,336,6
27029,0,0,0,0,0,0
27031,0,0,0,0,0,0
27033,45,0,42,0,43,0
27035,232,4,220,1,228,2
27037,2032,-11,2081,-7,1975,-18
27039,66,1,65,0,66,0
27041,113,-1,109,-2,112,-2
27043,43,0,44,0,45,0
27045,25,-1,25,-1,20,-2
27047,65,-2,60,-2,60,-2
27049,214,1,210,0,206,-1
