age_group,scenario_name,target,target_end_date,location,value,type,quantile,model_projection_date
18-49,no_change,1 wk ahead inc case,06/05/2021,Delaware,252,quantile,0.5,05/30/2021
18-49,no_change,1 wk ahead inc case,06/05/2021,Delaware,328,quantile,0.975,05/30/2021
18-49,no_change,2 wk ahead inc case,06/12/2021,Delaware,153,quantile,0.025,05/30/2021
18-49,no_change,2 wk ahead inc case,06/12/2021,Delaware,183,quantile,0.5,05/30/2021
18-49,no_change,2 wk ahead inc case,06/12/2021,Delaware,217,quantile,0.975,05/30/2021
18-49,no_change,3 wk ahead inc case,06/19/2021,Delaware,109,quantile,0.025,05/30/2021
18-49,no_change,3 wk ahead inc case,06/19/2021,Delaware,126,quantile,0.5,05/30/2021
18-49,no_change,3 wk ahead inc case,06/19/2021,Delaware,147,quantile,0.975,05/30/2021
18-49,no_change,4 wk ahead inc case,06/26/2021,Delaware,72,quantile,0.025,05/30/2021
18-49,no_change,4 wk ahead inc case,06/26/2021,Delaware,89,quantile,0.5,05/30/2021
18-49,no_change,4 wk ahead inc case,06/26/2021,Delaware,112,quantile,0.975,05/30/2021
18-49,no_change,5 wk ahead inc case,07/03/2021,Delaware,45,quantile,0.025,05/30/2021
18-49,no_change,5 wk ahead inc case,07/03/2021,Delaware,62,quantile,0.5,05/30/2021
18-49,no_change,5 wk ahead inc case,07/03/2021,Delaware,88,quantile,0.975,05/30/2021
18-49,no_change,6 wk ahead inc case,07/10/2021,Delaware,29,quantile,0.025,05/30/2021
18-49,no_change,6 wk ahead inc case,07/10/2021,Delaware,45,quantile,0.5,05/30/2021
18-49,no_change,6 wk ahead inc case,07/10/2021,Delaware,70,quantile,0.975,05/30/2021
18-49,no_change,1 wk ahead inc case,06/05/2021,Florida,5676,quantile,0.025,05/30/2021
18-49,no_change,1 wk ahead inc case,06/05/2021,Florida,6194,quantile,0.5,05/30/2021
18-49,no_change,1 wk ahead inc case,06/05/2021,Florida,6777,quantile,0.975,05/30/2021
18-49,no_change,2 wk ahead inc case,06/12/2021,Florida,4152,quantile,0.025,05/30/2021
18-49,no_change,2 wk ahead inc case,06/12/2021,Florida,4475,quantile,0.5,05/30/2021
18-49,no_change,2 wk ahead inc case,06/12/2021,Florida,4830,quantile,0.975,05/30/2021
18-49,no_change,3 wk ahead inc case,06/19/2021,Florida,2822,quantile,0.025,05/30/2021
18-49,no_change,3 wk ahead inc case,06/19/2021,Florida,3196,quantile,0.5,05/30/2021
18-49,no_change,3 wk ahead inc case,06/19/2021,Florida,3626,quantile,0.975,05/30/2021
18-49,no_change,4 wk ahead inc case,06/26/2021,Florida,1903,quantile,0.025,05/30/2021
18-49,no_change,4 wk ahead inc case,06/26/2021,Florida,2357,quantile,0.5,05/30/2021
18-49,no_change,4 wk ahead inc case,06/26/2021,Florida,2968,quantile,0.975,05/30/2021
18-49,no_change,5 wk ahead inc case,07/03/2021,Florida,1323,quantile,0.025,05/30/2021
18-49,no_change,5 wk ahead inc case,07/03/2021,Florida,1830,quantile,0.5,05/30/2021
18-49,no_change,5 wk ahead inc case,07/03/2021,Florida,2565,quantile,0.975,05/30/2021
18-49,no_change,6 wk ahead inc case,07/10/2021,Florida,951,quantile,0.025,05/30/2021
18-49,no_change,6 wk ahead inc case,07/10/2021,Florida,1467,quantile,0.5,05/30/2021
18-49,no_change,6 wk ahead inc case,07/10/2021,Florida,2284,quantile,0.975,05/30/2021
18-49,no_change,1 wk ahead inc case,06/05/2021,Georgia,1211,quantile,0.025,05/30/2021
18-49,no_change,1 wk ahead inc case,06/05/2021,Georgia,1389,quantile,0.5,05/30/2021
18-49,no_change,1 wk ahead inc case,06/05/2021,Georgia,1589,quantile,0.975,05/30/2021
18-49,no_change,2 wk ahead inc case,06/12/2021,Georgia,967,quantile,0.025,05/30/2021
