ds_uid,population,report,total,report_per_100K,total_per_100K,weightedR
44,7672397,8164,29113,106.40742391198,379.451167607724,0.970747951389898
45,1510068,2455,8750,162.575460177952,579.444104503903,0.914994616136492
46,575921,554,2242,96.1937487954077,389.289503247841,1.00276247957619
47,1175142,2180,9196,185.50949587369,782.543726630484,1.10599746243433
48,802122,878,3105,109.459658256475,387.098221966235,0.926750519247695
49,5408081,6858,28109,126.810230837889,519.759226979034,1.04799926073592
50,5183302,9225,41871,177.975352391198,807.80552628421,1.13033984707046
51,798753,1178,4426,147.479884269605,554.113724768483,0.965994756827204
52,1336413,2014,7911,150.701916248944,591.957725643196,1.03217418567464
53,2470546,3437,12812,139.119044939863,518.589817797361,1.02
54,1068376,4447,17337,416.23922663931,1622.74330385557,1.00389249664912
55,1240262,2108,7106,169.96408823297,572.943458720819,0.974681043198937
56,1050153,2626,10895,250.05880095567,1037.46787372888,1.00291934603815
57,1630640,3434,14560,210.592160133445,892.900946867488,1.09538620418977
58,2802550,1453,2646,51.8456405773314,94.4140158070329,0.583915755294286
59,954027,1945,6981,203.872636728311,731.740296658271,0.968515786240851
60,1292505,1592,5319,123.171670515781,411.526454443116,0.887091415507097
61,594884,1909,6859,320.902898716388,1152.99789538801,0.939664455591342
62,1711755,680,0,39.7253111572626,0,0.521828912431978
63,2425020,744,0,30.6801593388921,0,0.586044820248905
64,2478896,4243,22368,171.164905667684,902.337169449626,1.28144050415992
65,1477265,2873,10661,194.481017285321,721.671467204598,0.933314760723364
66,1283305,9623,49928,749.860711210507,3890.57940240239,1.21782354935109
67,2642153,9593,44209,363.075113363988,1673.21877272058,1.14472572935784
68,2169241,5249,23221,241.974036079901,1070.46658255122,1.06758839612565
69,1206859,2633,9170,218.169645335536,759.82364136987,0.9560539880798
70,707274,908,3162,128.380231706524,447.068604246728,0.920217723258596
71,534501,625,2358,116.931493112267,441.159137213962,1.07286472803606
72,2069416,2825,11461,136.511943466176,553.82774657198,1.09511500829219
73,412030,370,1625,89.7992864597238,394.388758100138,1.06660665485523
74,2185288,4890,20809,223.769132489631,952.231467888901,1.00530168105989
75,1305097,1756,6677,134.549385984337,511.609481900579,1.00376090819303
76,3888667,4679,16147,120.324008201268,415.232263395143,0.951204080987135
77,740733,850,3674,114.751199150031,495.995183149664,1.0493498552312
78,2403112,5574,19659,231.949239153231,818.064243364437,0.946814135171394
79,2572985,3418,12967,132.841816023024,503.967182086176,1.02875926260775
80,941952,1480,5917,157.120532681071,628.163643158038,1.06593425142682
81,3312510,9165,40255,276.678410027441,1215.24161436494,1.03574737283812
82,9129851,26807,106782,293.619249646024,1169.59192433699,1.03956325464676
83,892661,3627,13983,406.313258896714,1566.44011556459,1.02002011961988
84,1366679,3616,14165,264.582978153612,1036.45406126823,1.04232644973692
85,2163306,7862,30371,363.425238962958,1403.91604331519,1.0256486461
86,1061659,2734,8481,257.52148288669,798.844073285302,0.940066292472442
87,1097455,3370,10538,307.074094154202,960.221603619283,0.938036384179761
88,3554676,7875,26957,221.539178254221,758.353222628448,0.94959599130835
89,764890,926,3127,121.063159408542,408.816954071827,0.994974048556001
90,646777,2711,9897,419.155288453362,1530.20283652635,0.996685519120191
91,2950823,5907,21023,200.181440906486,712.445307631125,0.984615176850662
92,3979845,6250,21783,157.041291809103,547.332873516431,0.909928798734624
