co_fips,week_1,week_2,week_3
55055,68,63,59
55079,1142,1029,848
55089,93,83,63
55093,29,28,27
55101,242,212,176
55105,154,142,121
55109,71,72,65
55111,71,61,53
55117,113,120,126
55127,79,68,58
55131,152,127,93
55133,499,423,332
