ds_uid,population,report,total,report_per_100K,total_per_100K,weightedR,report_1,report_2,report_3,total_1,total_2,total_3,report_per_100K_1,report_per_100K_2,report_per_100K_3,total_per_100K_1,total_per_100K_2,total_per_100K_3
20,4678602,33696,129856,720.215141189612,2775.52995531571,1.02603907321033,10938,11291,11467,44193,43642,42021,233.787785325616,241.332774191949,245.094581672046,944.577033908847,932.800011627405,898.15290977946
21,3973984,28995,112502,729.62045141601,2830.96258062438,1.03097811918719,9375,9725,9895,38148,37833,36521,235.909354441286,244.716637007094,248.994459967629,959.943472344126,952.016918034899,919.002190245356
22,3019043,10938,37033,362.300238850523,1226.64698714129,0.919694833760235,3894,3688,3356,14085,12412,10536,128.981269892479,122.157915604382,111.161053353662,466.538568678883,411.123657397394,348.984761065013
23,8788947,33702,102542,383.458905827968,1166.71542108514,0.849457991952847,12706,11316,9680,41264,33922,27356,144.567944259989,128.7526253145,110.138336253478,469.498792062348,385.962049833729,311.254579189066
24,7428596,27501,86979,370.204544708044,1170.86728097746,0.892323836159619,10051,9270,8180,34310,29020,23649,135.301475541273,124.788048777993,110.115020388779,461.863856911858,390.652553995398,318.350870070199
25,16133150,62723,178149,388.783343612376,1104.24188704624,0.823089036548969,24260,20995,17468,73084,58848,46217,150.373609617465,130.135776336301,108.27395765861,453.00514778577,364.764475629372,286.472263631095
26,17037944,67226,187331,394.56638664853,1099.4929904688,0.805527314211151,26336,22473,18417,78002,61638,47691,154.572640924281,131.899717477649,108.094028246601,457.813454487232,361.76900217538,279.910533806192
27,16111549,66033,188036,409.848860590624,1167.08827934546,0.811385265935634,25661,22095,18277,77306,61981,48749,159.270843542108,137.137652003541,113.440365044975,479.81730372418,384.699199313486,302.57177630779
28,13266298,54514,152921,410.920966798726,1152.70288666816,0.812723100295199,21220,18249,15045,63214,50402,39305,159.954193701966,137.559099004108,113.407674092652,476.500678636949,379.925130582774,296.277077448434
29,2971545,10590,35236,356.380266830891,1185.78046100597,0.914619206507053,3741,3558,3291,12769,11710,10757,125.894105591536,119.735693048566,110.75046819079,429.709124378059,394.07109769497,362.000238932946
30,3904809,12958,50500,331.847217111003,1293.27708474345,1.04758299829774,4313,4278,4367,15975,16746,17779,110.453545871258,109.557215218465,111.83645602128,409.110919381716,428.855803190374,455.310362171364
31,5411658,18651,73288,344.644838975412,1354.26148511233,1.06181034721706,6095,6128,6428,22765,24287,26236,112.627220714982,113.237015347237,118.780602913192,420.665903129873,448.790370714483,484.80521126797
32,4976483,15832,65037,318.136322378676,1306.88681142887,1.06191073294132,5170,5182,5480,20180,21556,23301,103.888629781313,104.129763931676,110.117928665686,405.507262860136,433.157312101739,468.222236466999
